Thumb,IndexFinger,MiddleFinger,RingFinger,LittleFinger,accelerometer_x,accelerometer_y,accelerometer_z,temperature,gyro_x,gyro_y,gyro_z,Gesture
389,329,384,259,311,13716,8180,6588,29.57,-3433,-1999,1906,0
391,351,399,282,327,15416,1972,7460,29.61,-3889,-838,2048,0
425,379,429,332,408,15608,-1148,9428,29.61,-917,-562,-2069,0
394,369,437,362,428,15636,-532,7312,29.52,-1289,-641,-80,0
401,278,321,209,229,12952,10388,8024,29.52,1887,535,-2337,0
411,297,347,236,226,8396,14116,6080,29.66,-625,-52,279,0
416,301,353,242,245,9524,12476,6880,29.52,-733,-376,-60,0
416,303,355,244,246,9620,12236,6948,29.52,-626,-120,208,0
413,304,356,245,247,9588,12636,6836,29.61,-358,-130,51,0
413,306,358,246,249,9704,12624,6684,29.61,-584,-288,-45,0
412,307,358,246,250,9308,11980,4496,29.52,4596,5,779,0
415,306,358,247,253,11632,12400,-1244,29.66,-28,-381,613,0
415,307,359,248,254,11772,12172,-1952,29.42,-817,-551,-149,0
